县,年末总人口,行政区域土地面积（平方公里）,地区生产总值（万元）,第一产业增加值（万元）,第二产业增加值（万元）,第三产业增加值（万元）,地方财政一般预算收入（万元）（2003年及之前为“地方财政预算内收入”）,地方财政一般预算支出（万元）（2003年及之前为“财政总支出”）,各项税收（万元）,城乡居民储蓄存款余额（万元）,人均地区生产总值（元/人）,规模以上工业总产值（现价）（万元）,adcode,province,city,district
太和县,145.3,1867.0,4544372.0,542164.0,1948414.0,2053794.0,466475.0,935784.0,,4552913.0,25555.0,,210702.0,辽宁省,锦州市,古塔区
颍上县,129.5,1987.0,4117554.0,572585.0,1703448.0,1841521.0,423174.0,884745.0,,3119800.0,23009.0,,341226.0,安徽省,阜阳市,颍上县
阜南县,120.8,1801.0,2782000.0,574000.0,846000.0,1362000.0,131016.0,835973.0,,3151000.0,16064.0,,341225.0,安徽省,阜阳市,阜南县
界首市,61.2,667.0,3428624.0,291834.0,2028107.0,1108683.0,232776.0,621313.0,,2279343.0,41220.0,,341282.0,安徽省,阜阳市,界首市
阜阳市颍州区,83.3,,,,,,,,,,,,341202.0,安徽省,阜阳市,颍州区
阜阳市颍东区,57.3,,,,,,,,,,,,341203.0,安徽省,阜阳市,颍东区
阜阳市颍泉区,62.6,,,,,,,,,,,,341204.0,安徽省,阜阳市,颍泉区
霍邱县,120.5,3239.0,2177693.0,570891.0,525852.0,1080950.0,291155.0,801228.0,,2663035.0,13264.0,,341522.0,安徽省,六安市,霍邱县
舒城县,77.8,2100.0,2994362.0,332385.0,1356104.0,1305873.0,256270.0,567592.0,,3179683.0,30016.0,,341523.0,安徽省,六安市,舒城县
金寨县,54.1,3918.0,1876628.0,208300.0,807691.0,860637.0,228111.0,666891.0,,1875099.0,27438.0,,341524.0,安徽省,六安市,金寨县
霍山县,33.2,2043.0,1610786.0,174001.0,684711.0,752074.0,103702.0,297920.0,,1502077.0,44428.0,,341525.0,安徽省,六安市,霍山县
六安市金安区,85.7,,,,,,,,,,,,341502.0,安徽省,六安市,金安区
六安市裕安区,92.3,,,,,,,,,,,,341503.0,安徽省,六安市,裕安区
肥东县,90.5,2182.0,6556850.0,659418.0,2293941.0,3603491.0,719470.0,918990.0,,3440565.0,60762.0,,340122.0,安徽省,合肥市,肥东县
长丰县,67.4,1841.0,6014159.0,641714.0,2446170.0,2926275.0,659768.0,788569.0,,2258841.0,76121.0,,340121.0,安徽省,合肥市,长丰县
肥西县,79.0,1695.0,8038646.0,550003.0,3419606.0,4069037.0,507121.0,863962.0,,3706818.0,95414.0,,340123.0,安徽省,合肥市,肥西县
庐江县,101.4,2344.0,4578248.0,563092.0,1590920.0,2424236.0,362502.0,710468.0,,3731919.0,37833.0,,340124.0,安徽省,合肥市,庐江县
巢湖市,80.3,2046.0,4334322.0,385138.0,1664396.0,2284788.0,231590.0,605142.0,,3673131.0,55253.0,,340181.0,安徽省,合肥市,巢湖市
合肥市瑶海区,101.6,,,,,,,,,,,,340102.0,安徽省,合肥市,瑶海区
合肥市庐阳区,69.2,,,,,,,,,,,,340103.0,安徽省,合肥市,庐阳区
合肥市蜀山区,131.2,,,,,,,,,,,,340103.0,安徽省,合肥市,庐阳区
合肥市包河区,98.3,,,,,,,,,,,,340111.0,安徽省,合肥市,包河区
怀远县,99.9,2192.0,4371924.0,712142.0,1839411.0,1820371.0,367032.0,801102.0,,2442344.0,32739.0,,340321.0,安徽省,蚌埠市,怀远县
固镇县,58.0,1361.0,2974888.0,721392.0,1223283.0,1030213.0,201187.0,401328.0,,1591116.0,45050.0,,340323.0,安徽省,蚌埠市,固镇县
五河县,60.1,1428.0,2487856.0,605181.0,555849.0,1326826.0,130365.0,422898.0,,1599948.0,35799.0,,340322.0,安徽省,蚌埠市,五河县
蚌埠市龙子湖区,22.6,,,,,,,,,,,,340302.0,安徽省,蚌埠市,龙子湖区
蚌埠市蚌山区,40.9,,,,,,,,,,,,340303.0,安徽省,蚌埠市,蚌山区
蚌埠市禹会区,36.0,,,,,,,,,,,,340304.0,安徽省,蚌埠市,禹会区
蚌埠市淮上区,23.8,,,,,,,,,,,,340311.0,安徽省,蚌埠市,淮上区
凤台县,59.8,894.0,2992987.0,359090.0,1522797.0,1111100.0,271134.0,407227.0,,2265536.0,43980.0,,340421.0,安徽省,淮南市,凤台县
淮南市田家庵区,63.1,,,,,,,,,,,,340403.0,安徽省,淮南市,田家庵区
淮南市大通区,18.7,,,,,,,,,,,,340402.0,安徽省,淮南市,大通区
淮南市谢家集区,32.7,,,,,,,,,,,,340404.0,安徽省,淮南市,谢家集区
淮南市八公山区,17.7,,,,,,,,,,,,340405.0,安徽省,淮南市,八公山区
淮南市潘集区,41.2,,,,,,,,,,,,340406.0,安徽省,淮南市,潘集区
寿县,105.3,2948.0,2127845.0,499187.0,596647.0,1032011.0,235712.0,768662.0,,2435774.0,15223.0,,340422.0,安徽省,淮南市,寿县
铜陵市义安区,27.1,796.0,1496045.0,135346.0,636355.0,724344.0,368569.0,308276.0,,,,,340706.0,安徽省,铜陵市,义安区
枞阳县,71.9,1473.0,1585753.0,283982.0,386560.0,915211.0,165645.0,431829.0,,3307647.0,17959.0,,340722.0,安徽省,铜陵市,枞阳县
铜陵市郊区,24.1,,,,,,,,,,,,340711.0,安徽省,铜陵市,郊区
当涂县,48.0,1002.0,4452918.0,325957.0,2305565.0,1821396.0,534867.0,518563.0,,2472666.0,93011.0,,340521.0,安徽省,马鞍山市,当涂县
含山县,39.9,1028.0,1953195.0,218593.0,769548.0,965054.0,200026.0,305849.0,,1611552.0,43811.0,,340522.0,安徽省,马鞍山市,含山县
和县,48.8,1319.0,2532166.0,267705.0,939154.0,1325307.0,372394.0,459461.0,,2148384.0,46732.0,,340523.0,安徽省,马鞍山市,和县
马鞍山市花山区,45.8,,,,,,,,,,,,340503.0,安徽省,马鞍山市,花山区
马鞍山市雨山区,34.3,,,,,,,,,,,,340503.0,安徽省,马鞍山市,花山区
马鞍山市博望区,19.3,,,,,,,,,,,,340506.0,安徽省,马鞍山市,博望区
濉溪县,106.7,1982.0,4609881.0,490053.0,2333357.0,1786471.0,417702.0,710605.0,,3538897.0,40653.0,,340621.0,安徽省,淮北市,濉溪县
淮北市相山区,51.1,,,,,,,,,,,,340603.0,安徽省,淮北市,相山区
淮北市烈山区,34.8,,,,,,,,,,,,340604.0,安徽省,淮北市,烈山区
淮北市杜集区,34.4,,,,,,,,,,,,340602.0,安徽省,淮北市,杜集区
繁昌县,27.2,585.0,2984775.0,111391.0,1724985.0,1148399.0,322536.0,416882.0,,1780034.0,108149.0,,,,,
南陵县,42.3,1264.0,2727406.0,326623.0,1179683.0,1221100.0,327832.0,411930.0,,2221405.0,49552.0,,340223.0,安徽省,芜湖市,南陵县
芜湖县,30.8,650.0,3153963.0,203784.0,1677700.0,1272479.0,491104.0,436550.0,,1802646.0,90467.0,,,,,
无为市,106.2,2022.0,4869985.0,512070.0,2407334.0,1950581.0,259909.0,655344.0,,4056043.0,40256.0,,340281.0,安徽省,芜湖市,无为市
芜湖市镜湖区,57.7,,,,,,,,,,,,340202.0,安徽省,芜湖市,镜湖区
芜湖市弋江区,34.3,,,,,,,,,,,,340209.0,安徽省,芜湖市,弋江区
芜湖市鸠江区,63.3,,,,,,,,,,,,340207.0,安徽省,芜湖市,鸠江区
芜湖市三山区,15.9,,,,,,,,,,,,340209.0,安徽省,芜湖市,弋江区
怀宁县,61.4,1276.0,3002829.0,226829.0,1604000.0,1172000.0,239690.0,371583.0,,3042971.0,42517.0,,340822.0,安徽省,安庆市,怀宁县
桐城市,68.6,1546.0,3808693.0,312389.0,1972701.0,1523603.0,313718.0,513900.0,,3595946.0,50593.0,,340881.0,安徽省,安庆市,桐城市
潜山市,52.2,1688.0,2078673.0,263619.0,931332.0,883722.0,144249.0,486392.0,,2001469.0,35597.0,,340882.0,安徽省,安庆市,潜山市
太湖县,53.5,2040.0,1891710.0,283551.0,736368.0,871791.0,110751.0,522399.0,,1465503.0,32666.0,,340825.0,安徽省,安庆市,太湖县
宿松县,62.4,2394.0,2331319.0,450684.0,959404.0,921231.0,136315.0,565000.0,,2187186.0,26743.0,,340826.0,安徽省,安庆市,宿松县
望江县,55.4,1348.0,1850926.0,298077.0,792126.0,760723.0,107833.0,433740.0,,2203117.0,28899.0,,340827.0,安徽省,安庆市,望江县
岳西县,33.5,2372.0,1224036.0,156795.0,489149.0,578092.0,94486.0,413470.0,,1279699.0,29631.0,,340828.0,安徽省,安庆市,岳西县
安庆市迎江区,27.7,,,,,,,,,,,,340802.0,安徽省,安庆市,迎江区
安庆市大观区,29.5,,,,,,,,,,,,340803.0,安徽省,安庆市,大观区
安庆市宜秀区,28.2,,,,,,,,,,,,340811.0,安徽省,安庆市,宜秀区
祁门县,16.7,2215.0,760060.0,71275.0,243897.0,444888.0,52268.0,198318.0,,904864.0,40631.0,,341024.0,安徽省,黄山市,祁门县
黟县,8.3,857.0,427378.0,39445.0,137075.0,250858.0,39815.0,140166.0,,551764.0,45811.0,,341023.0,安徽省,黄山市,黟县
休宁县,25.3,2126.0,1096909.0,138622.0,431011.0,527276.0,89138.0,253122.0,,1222956.0,40837.0,,341022.0,安徽省,黄山市,休宁县
歙县,41.9,2122.0,1931069.0,183414.0,728356.0,1019299.0,127625.0,375218.0,,2207749.0,40831.0,,341021.0,安徽省,黄山市,歙县
